level_0,index,playerID,yearID,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
115,115,bordimi01,2001,1,58,229,32,57,13,0,7,30.0,9.0,3.0,17,36.0,1.0,6.0,2.0,3.0,4.0
116,116,borkoda01,2001,1,15,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
117,117,borlato02,2001,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
118,118,borowjo01,2001,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
119,119,bottari01,2001,1,66,3,1,1,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
120,120,botteke01,2001,1,13,14,0,2,0,0,0,0.0,0.0,0.0,0,5.0,0.0,0.0,1.0,0.0,0.0
121,121,bowlebr01,2001,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
122,122,bradfch01,2001,1,35,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
123,123,bradlmi01,4002,3,77,238,22,53,17,3,1,19.0,8.0,5.0,21,65.0,0.0,1.0,2.0,0.0,7.0
124,124,braggda01,4002,3,23,61,5,16,7,0,0,5.0,3.0,2.0,4,24.0,0.0,1.0,1.0,0.0,0.0
125,125,bransje01,2001,1,13,21,3,6,0,0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0
126,126,brantje01,2001,1,18,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
127,127,branyru01,2001,1,113,315,48,73,16,2,20,54.0,1.0,1.0,38,132.0,1.0,3.0,0.0,5.0,2.0
128,128,breale01,2001,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
129,129,brockch01,2001,1,24,3,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
130,130,brognri01,2001,1,72,206,15,51,9,0,3,21.0,3.0,1.0,14,46.0,1.0,1.0,1.0,1.0,9.0
131,131,brohatr01,2001,1,59,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
132,132,brosisc01,2001,1,120,428,57,123,25,2,13,49.0,3.0,1.0,34,83.0,2.0,5.0,6.0,5.0,10.0
133,133,broweji01,2001,1,48,26,6,8,1,0,0,3.0,0.0,0.0,0,8.0,0.0,0.0,2.0,0.0,0.0
134,134,brownad01,2001,1,8,31,3,6,0,0,1,2.0,2.0,1.0,3,3.0,0.0,0.0,0.0,0.0,1.0
135,135,brownde02,2001,1,106,380,39,93,19,0,7,40.0,5.0,3.0,22,81.0,4.0,1.0,1.0,2.0,12.0
136,136,brownem01,4002,3,74,137,21,26,4,1,3,13.0,12.0,4.0,16,49.0,1.0,2.0,0.0,0.0,2.0
137,137,brownke01,2001,1,20,36,2,3,0,0,1,2.0,0.0,0.0,0,12.0,0.0,3.0,2.0,0.0,0.0
138,138,brownke04,2001,1,17,43,7,9,0,1,4,12.0,0.0,0.0,2,18.0,0.0,1.0,0.0,0.0,1.0
139,139,brownro01,2001,1,39,83,13,22,6,1,4,22.0,0.0,0.0,7,12.0,0.0,1.0,0.0,1.0,3.0
140,140,brumbcl01,4002,3,21,46,6,10,2,0,1,4.0,0.0,1.0,3,14.0,0.0,0.0,0.0,0.0,3.0
141,141,buchabr01,2001,1,69,197,28,54,12,0,10,32.0,1.0,1.0,19,58.0,0.0,2.0,0.0,1.0,2.0
142,142,buddimi01,2001,1,31,4,1,1,0,0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0
143,143,buehrma01,2001,1,32,3,0,0,0,0,0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0
144,144,buforda01,2001,1,35,85,11,15,2,0,3,8.0,0.0,0.0,4,23.0,0.0,0.0,0.0,0.0,3.0
145,145,buhneja01,2001,1,19,45,4,10,2,0,2,5.0,0.0,0.0,8,9.0,0.0,0.0,0.0,0.0,3.0
146,146,burbada01,2001,1,32,2,1,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,2.0,0.0,0.0
147,147,burkeja02,2001,1,9,5,1,1,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
148,148,burkejo03,2001,1,34,65,2,6,0,0,0,1.0,0.0,0.0,3,29.0,0.0,0.0,7.0,0.0,5.0
149,149,burkhmo01,2001,1,11,33,3,6,1,0,1,4.0,0.0,0.0,1,11.0,0.0,0.0,0.0,0.0,1.0
150,150,burksel01,2001,1,124,439,83,123,29,1,28,74.0,5.0,1.0,62,85.0,2.0,5.0,0.0,9.0,16.0
151,151,burneaj01,2001,1,27,50,0,4,1,0,0,0.0,0.0,0.0,1,27.0,0.0,1.0,7.0,0.0,0.0
152,152,burnije01,2001,1,154,562,104,141,32,4,34,100.0,0.0,4.0,80,150.0,9.0,5.0,0.0,4.0,8.0
153,153,burrepa01,2001,1,155,539,70,139,29,2,27,89.0,2.0,1.0,70,162.0,7.0,5.0,0.0,4.0,12.0
154,154,bushho01,2001,1,78,271,32,83,11,1,3,27.0,13.0,4.0,8,50.0,1.0,6.0,2.0,4.0,2.0
155,155,butlebr02,2001,1,53,119,17,29,7,1,1,14.0,1.0,1.0,7,7.0,0.0,1.0,2.0,2.0,4.0
156,156,byrdpa01,4002,3,20,6,0,1,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,2.0,0.0,0.0
157,157,byrneer01,2001,1,19,38,9,9,1,0,3,5.0,1.0,0.0,4,6.0,0.0,1.0,0.0,0.0,0.0
158,158,cabrejo01,2001,1,55,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
159,159,cabrejo02,2001,1,141,287,50,75,16,3,1,38.0,10.0,4.0,16,41.0,0.0,6.0,1.0,2.0,4.0
160,160,cabreor01,2001,1,162,626,64,173,41,6,14,96.0,19.0,7.0,43,54.0,5.0,4.0,4.0,7.0,15.0
161,161,cairomi01,4002,3,93,156,25,46,8,1,3,16.0,2.0,1.0,18,23.0,1.0,0.0,7.0,1.0,4.0
162,162,callami01,2001,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
163,163,camermi01,2001,1,150,540,99,144,30,5,25,110.0,34.0,5.0,69,155.0,3.0,10.0,1.0,13.0,13.0
164,164,caminke01,4002,3,118,356,36,81,17,1,15,41.0,0.0,1.0,43,85.0,3.0,2.0,0.0,3.0,7.0
165,165,cansejo01,2001,1,76,256,46,66,8,0,16,49.0,2.0,1.0,45,75.0,1.0,1.0,0.0,4.0,4.0
166,166,cardoja01,2001,1,46,96,10,25,8,0,1,10.0,0.0,1.0,2,12.0,0.0,1.0,2.0,1.0,2.0
167,167,carpech01,2001,1,34,6,0,1,0,0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,1.0,0.0,0.0
168,168,carragi01,2001,1,47,12,1,3,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
169,169,carrahe01,2001,1,56,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
170,170,casanra01,2001,1,71,192,21,50,10,0,11,33.0,0.0,0.0,12,29.0,2.0,1.0,0.0,3.0,3.0
171,171,caseyse01,2001,1,145,533,69,165,40,0,13,89.0,3.0,1.0,43,63.0,8.0,9.0,0.0,3.0,16.0
172,172,castial01,2001,1,66,131,9,26,4,0,1,4.0,1.0,1.0,7,30.0,0.0,3.0,5.0,0.0,2.0
173,173,castica02,2001,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
174,174,castifr01,2001,1,26,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
175,175,castilu01,2001,1,134,537,76,141,16,10,2,45.0,33.0,16.0,67,90.0,0.0,1.0,4.0,3.0,6.0
176,176,castivi02,4002,3,146,538,69,140,34,1,25,91.0,1.0,4.0,35,108.0,3.0,4.0,0.0,4.0,22.0
